4394029,320053,5931,46245
7860119,185853,26679,0
5845909,576597,39774,170708
2642103,24975,4542,12829
1168130,96666,568,6666
1311445,34507,544,3040
666169,9985,297,1071
1728614,74062,2180,15297
1338533,69687,678,5643
1056891,29943,878,4046
859289,34485,726,1914
452477,28050,405,2745
258781,8085,303,726
274358,9215,477,838
473691,14740,415,1696
514972,18936,641,3817
282858,14870,300,1398
1582683,65749,1531,3598
479951,23945,640,1941
2693468,7941,302,1432
815608,66420,3578,5550
382525,1521,270,1168
703750,2921,2196,1042
255967,21817,293,2017
96872,3498,482,439
743947,6126,352,2438
10535242,384920,7550,23855
483360,16258,245,1588
3298456,65730,4360,9504
321297,15424,280,3317
752844,42290,359,3250
602127,19575,658,2510
136643,6218,127,524
244433,9143,6826,4838
917643,25456,731,1073
796896,39791,1252,3868
2932,71,3,15
224532,490,772,597
246389,15314,247,1842
165647,3712,142,524
162818,9531,416,1079
163656,19183,137,2154
220661,2070,449,352
142039,9889,130,1224
807779,26521,522,5996
1936893,74587,1060,6558
279903,4389,138,338
262875,1069,183,0
185541,12179,115,827
27794,1692,34,174
315347,19538,204,3172
46622,345,47,149
668027,3553,1629,889
1026622,61409,967,4097
1862110,38823,1999,6229
148998,2123,101,435
182676,3752,165,1163
379817,14096,323,1338
103807,119,23,67
44621,4165,121,537
48688,141,226,256
141532,9467,55,956
7740,70,1,7
16059,139,9,12
4618045,104899,2180,11355
4661584,17517,2543,2157
320880,3858,104,675
94123,520,34,96
134994,13901,69,1087
135280,2032,17,368
229235,9746,292,1119
14577,160,19,51
14706,1619,33,201
543283,33686,931,14935
39338,2377,103,484
62884,6003,72,364
196016,5080,56,434
2526119,17110,677,5311
43199,3263,7,294
1157495,15333,990,4641
42734,0,0,0
16653,83,10,27
416462,20164,297,2597
470206,942,137,582
2604761,28651,2256,6878
332176,14279,626,1927
7189818,26771,3925,123
330895,18023,112,1017
230701,11767,184,1519
358661,3498,24056,6420
101248,4679,93,331
498183,6300,112,789
1462030,74679,1502,3881
4774911,32276,12757,4103
2433292,123805,1069,9275
295156,10918,149,781
165849,3391,297,374
322896,8516,470,663
1617247,83419,1014,7114
185928,6156,129,320
265833,3995,197,256
28038,845,41,344
91229,270,62,211
188162,1990,266,192
157437,19869,78,2027
329459,1158,188,439
1153128,45408,4311,5708
1769252,8048,2123,3359
381229,11618,452,1663
260164,2405,121,259
1275489,2678,494,895
9025,53,1,16
13892,327,29,86
216040,9301,140,349
2036428,41039,2671,15607
50155,251,27,146
659749,3964,712,278
1007014,57545,570,3333
7410,48,2,0
158816,206,67,153
2330211,4893,938,381
1002,8,0,3
622951,13260,493,1751
92783,6491,54,339
352284,13099,508,1297
8692,340,16,36
788310,17141,1054,5521
113400,1049,20,297
163404,3337,111,447
352119,12880,195,517
119124,742,48,404
7009,45,0,9
92656,895,22,143
53712,203,4,25
763632,51890,194,4852
5044462,183483,16582,19443
2874,104,0,15
1307902,19734,984,3029
19431,87,2,10
229636,7897,47,781
171000,454,85,290
1812471,133824,5380,23176
11830,200,3,22
1851893,24779,2844,2242
4801,28,0,8
55214,258,5,99
116337,17,10,2
387873,12099,458,1771
406327,20499,516,6361
108653,3606,109,699
77640,2223,221,390
173773,9188,166,876
1106140,38670,1576,1470
952945,17703,3207,0
277903,13343,212,6348
700036,49257,995,4863
2384595,50009,1918,6584
1712,15,0,4
13794,40,49,0
834567,20322,876,862
443606,4231,68,246
1493731,23472,3490,5872
13728070,468636,6597,20989
4850078,146460,8649,4896
108839,3677,107,732
614717,49443,1986,3970
1244953,29748,2639,4112
1862718,21516,1960,2108
2114219,77679,1874,4529
11533,51,7,29
109422,200,14,0
349856,4403,140,335
447037,25068,710,1299
226012,9353,156,1282
3998451,291383,11624,24246
82199,1194,51,194
41962,1445,50,268
36323498,1431683,28049,100661
25652,73,11,62
7563,344,1,21
845694,64515,625,4325
